#               DATEOBS        MJDim filter      m    dm    gr gr_err     ri ri_err     iz iz_err cflg photcodehex    flux_c dflux_c ZPTMAG_c      flux   dflux ZPTMAG       type                                                                              cmpfile
 2009-08-31T14:11:08.45 55074.591070      g      -     -     -      -      -      -      -      -    -      0x1613    897.18  404.99  31.1331    929.22  419.37 31.171 0x00000011 ut090831h_templh/13/md01s066.g.ut090831h.1917684_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-12T13:20:26.30 55086.555860      g      -     -     -      -      -      -      -      -    -      0x1613    451.80  719.27  31.1331    463.35  737.64 31.160 0x00000011 ut090912h_templh/13/md01s066.g.ut090912h.1917743_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-15T13:12:12.96 55089.550150      g      -     -     -      -      -      -      -      -    -      0x1613    525.39  288.05  31.1331    557.09  305.38 31.197 0x00000011 ut090915h_templh/13/md01s066.g.ut090915h.1917802_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-21T12:55:13.44 55095.538350      g      -     -     -      -      -      -      -      -    -      0x1613    341.50  394.35  31.1331    374.14  432.02 31.232 0x00000011 ut090921h_templh/13/md01s066.g.ut090921h.1917859_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-24T12:53:15.07 55098.536980      g      -     -     -      -      -      -      -      -    -      0x1613   -153.74  394.85  31.1331   -157.54  404.60 31.160 0x00000011 ut090924h_templh/13/md01s066.g.ut090924h.1917917_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-27T13:40:01.34 55101.569460      g      -     -     -      -      -      -      -      -    -      0x1613    472.15  319.68  31.1331    457.17  309.51 31.098 0x00000011 ut090927h_templh/13/md01s066.g.ut090927h.1917971_13_g.templh.367089_13.diff.cut.dcmp
 2009-09-30T13:47:59.14 55104.574990      g      -     -     -      -      -      -      -      -    -      0x1613    -14.39  436.98  31.1331    -14.28  433.65 31.125 0x00000011 ut090930h_templh/13/md01s066.g.ut090930h.1918023_13_g.templh.367089_13.diff.cut.dcmp
 2009-11-26T08:18:49.82 55161.346410      g      -     -     -      -      -      -      -      -    -      0x1613    641.25  575.98  31.1331    617.60  554.71 31.092 0x00000011 ut091126h_templh/13/md01s066.g.ut091126h.1918083_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-05T08:23:29.76 55170.349650      g      -     -     -      -      -      -      -      -    -      0x1613  -1583.63  726.02  31.1331  -1549.72  710.33 31.110 0x00000011 ut091205h_templh/13/md01s066.g.ut091205h.1918153_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-08T08:28:45.12 55173.353300      g      -     -     -      -      -      -      -      -    -      0x1613    535.98  350.14  31.1331    528.09  344.95 31.117 0x00000011 ut091208h_templh/13/md01s066.g.ut091208h.1918225_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-11T10:21:41.47 55176.431730      g      -     -     -      -      -      -      -      -    -      0x1613    -59.63  326.77  31.1331    -58.27  319.33 31.108 0x00000011 ut091211h_templh/13/md01s066.g.ut091211h.1918292_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-14T08:22:35.33 55179.349020      g      -     -     -      -      -      -      -      -    -      0x1613   -150.78  178.41  31.1331   -148.72  175.97 31.118 0x00000011  ut091214h_templh/13/md01s066.g.ut091214h.366552_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-14T08:35:57.12 55179.358300      g      -     -     -      -      -      -      -      -    -      0x1613    421.86  166.20  31.1331    416.34  163.98 31.119 0x00000011 ut091214h_templh/13/md01s066.g.ut091214h.1918360_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-23T07:23:13.06 55188.307790      g 22.466 0.247     -      -      -      -      -      -    -      0x1613   2928.47  648.68  31.1331   2695.01  596.45 31.043 0x00000011 ut091223h_templh/13/md01s066.g.ut091223h.1918432_13_g.templh.367089_13.diff.cut.dcmp
 2009-12-26T05:46:45.12 55191.240800      g      -     -     -      -      -      -      -      -    -      0x1613   -460.89  375.88  31.1331   -463.79  378.22 31.140 0x00000011  ut091226h_templh/13/md01s066.g.ut091226h.366614_13_g.templh.367089_13.diff.cut.dcmp
 2010-01-07T05:59:46.18 55203.249840      g      -     -     -      -      -      -      -      -    -      0x1613    304.97  198.13  31.1331    294.78  191.49 31.096 0x00000011 ut100107h_templh/13/md01s066.g.ut100107h.1918502_13_g.templh.367089_13.diff.cut.dcmp
 2010-01-07T06:06:33.12 55203.254550      g      -     -     -      -      -      -      -      -    -      0x1613    776.11  262.39  31.1331    760.40  256.98 31.111 0x00000011  ut100107h_templh/13/md01s066.g.ut100107h.366675_13_g.templh.367089_13.diff.cut.dcmp
 2010-01-10T06:42:08.93 55206.279270      g      -     -     -      -      -      -      -      -    -      0x1613   -130.17  189.32  31.1331   -128.83  187.37 31.122 0x00000011  ut100110h_templh/13/md01s066.g.ut100110h.366735_13_g.templh.367089_13.diff.cut.dcmp
 2010-01-10T06:45:44.06 55206.281760      g 24.045 0.281 0.396  0.351      -      -      -      -    1      0x1613    684.08  175.32  31.1331    671.53  171.99 31.113 0x00000011 ut100110h_templh/13/md01s066.g.ut100110h.1918570_13_g.templh.367089_13.diff.cut.dcmp
 2010-08-05T14:04:23.23 55413.586380      g      -     -     -      -      -      -      -      -    -      0x1613    710.92  374.26  31.1331    684.26  360.17 31.092 0x00000011  ut100805h_templh/13/md01s066.g.ut100805h.366792_13_g.templh.367089_13.diff.cut.dcmp
